Day_ID,Date,Reduced_chi_squared,N_observations
1,10000000,1.1983814468581409,20
2,10000001,0.9329375490278893,20
3,10000002,1.2984916075635522,20
4,10000003,1.5426284603959115,20
5,10000004,1.2847352105092613,20
6,10000005,0.9328798879720859,20
7,10000006,0.898818446881737,20
8,10000007,2.274689441654731,20
9,10000008,1.1582697973279001,20
10,10000009,0.9884528991350132,20
11,10000010,1.0240986925319768,20
12,10000011,1.1350615609914267,20
13,10000012,1.583238240968926,20
14,10000013,1.1331177933047476,20
15,10000014,1.6839091217517248,20
16,10000015,0.9298457898797843,20
17,10000016,1.3191766939594967,20
18,10000017,1.180430911945838,20
19,10000018,0.9220486675651028,20
20,10000019,0.9232546667518245,20
21,10000020,1.1131162263432282,20
22,10000021,1.0371019156358472,20
23,10000022,1.575262395055557,20
24,10000023,1.0890358154168214,20
25,10000024,1.3508809872256584,20
26,10000025,1.0136945808883369,20
27,10000026,1.0701027188569403,20
28,10000027,1.0477086061836067,20
29,10000028,1.0059171675030045,20
30,10000029,1.030390232323348,20
31,10000030,1.0158569995915099,20
32,10000031,0.877415065962987,20
33,10000032,1.335499163050881,20
34,10000033,1.4743981966832138,20
35,10000034,0.8099277507225298,20
36,10000035,0.781812969285458,20
37,10000036,1.3119745815123154,20
38,10000037,1.6500475351017487,20
39,10000038,0.8089675882383807,20
40,10000039,1.1440007256288216,20
